172.22.0.1 - - [30/Oct/2025:21:21:30 +0000] "GET /version HTTP/1.1" 200 57 pool=- release=- upstream_status=200 upstream_addr=172.22.0.3:3000 request_time=0.025 upstream_response_time=0.025
172.22.0.1 - - [30/Oct/2025:21:26:50 +0000] "GET /version HTTP/1.1" 200 57 pool=- release=- upstream_status=200 upstream_addr=172.22.0.3:3000 request_time=0.189 upstream_response_time=0.189
172.22.0.1 - - [30/Oct/2025:21:44:42 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.320 upstream_response_time=0.319
172.22.0.1 - - [30/Oct/2025:21:45:26 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.014 upstream_response_time=0.014
172.22.0.1 - - [30/Oct/2025:22:48:36 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.203 upstream_response_time=0.203
172.22.0.1 - - [30/Oct/2025:22:48:36 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:22:48:36 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.007 upstream_response_time=0.007
172.22.0.1 - - [30/Oct/2025:22:48:36 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:22:48:36 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:22:48:36 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:22:48:36 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:48:36 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:48:36 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:22:48:36 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:48:36 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:48:36 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
